"Global
Company
Key","Calendar
Data
Year
and
Quarter","Active/Inactive
Status
Marker","Company
Name","Ticker
Symbol","Cash
and
Short-Term
Investments","Common
Shares
Outstanding","Long-Term
Debt
-
Total","Earnings
Per
Share
(Diluted)
-
Excluding
Extraordinary
Items
-
12
Months
Moving","Revenue
-
Total","Shareholders

Equity
-
Total","Market
Value
-
Total","Price
Close
-
Quarter",price Q2,P/E close,Price/Sales,LT Debt to Equity,Net Profit margin,Return on Equity,"Sales/Turnover
(Net)",Price/Book Value,Operating Margin,"% price increase, Q1 to Q2"
8402,2008Q1,A,PAYCHEX INC,PAYX,4815.285,360.358,0,1.5,532.172,1151.991,11336.8627,31.46,34.55,20.97,21.3,0,1.02,0.47,532.172,9.84,1.22,0.1
8455,2008Q1,A,PPL CORP,PPL,873,373,7067,2.72,1526,5885,17128.16,45.92,52.27,16.88,11.22,1.2,0.66,0.17,1526,2.91,1.15,0.14
8479,2008Q1,A,PEPSICO INC,PEP,2597,1590,4884,3.47,8333,16714,114798,72.2,63.59,20.81,13.78,0.29,0.66,0.33,8333,6.87,0.39,-0.12
8539,2008Q1,A,EXELON CORP,EXC,411,656,12799,3.9,4517,9920,53313.12,81.27,89.96,20.84,11.8,1.29,0.57,0.26,4517,5.37,0.63,0.11
8549,2008Q1,A,CONOCOPHILLIPS,COP,1423,1542.447,27249,7.74,51026,89575,117549.8859,76.21,94.39,9.85,2.3,0.3,0.23,0.13,51026,1.31,0.48,0.24
8762,2008Q1,A,PROCTER & GAMBLE CO,PG,4078,3052.985,23673,3.39,20463,69589,213922.659,70.07,60.81,20.67,10.45,0.34,0.51,0.15,20463,3.07,0.7,-0.13
8810,2008Q1,A,PUBLIC SERVICE ENTRP GRP INC,PEG,346,508.522,8414,2.765,3803,7426,20437.4992,40.19,45.93,14.54,5.37,1.13,0.37,0.19,3803,2.75,0.59,0.14
8873,2008Q1,A,QUESTAR CORP,STR,0,173.289,1871.1,3.07,1045.1,2552.7,9801.2258,56.56,71.04,18.42,9.38,0.73,0.51,0.21,1045.1,3.84,0.99,0.26
8972,2008Q1,A,RAYTHEON CO,RTN,2287,422.7,2288,4.02,5354,12632,27310.647,64.61,56.28,16.07,5.1,0.18,0.32,0.13,5354,2.16,5.47,-0.13
9063,2008Q1,A,AUTONATION INC,AN,34.4,178.533,1668.5,1.35,3995.5,3501,2672.639,14.97,10.02,11.09,0.67,0.48,0.06,0.07,3995.5,0.76,0.27,-0.33
9203,2008Q1,A,ROCKWELL AUTOMATION,ROK,760.7,146.8,904.1,4.14,1406.6,1880.6,8429.256,57.42,43.73,13.87,5.99,0.48,0.43,0.32,1406.6,4.48,0.24,-0.24
9217,2008Q1,A,ROHM AND HAAS CO,ROH,321,195.846,3230,3.14,2507,3284,10591.3517,54.08,46.44,17.22,4.22,0.98,0.25,0.19,2507,3.23,0.19,-0.14
9258,2008Q1,A,ROWAN COS INC,RDC,288.926,111.949,401.775,4.41,485.489,2453.501,4610.0598,41.18,46.75,9.34,9.5,0.16,1.02,0.2,485.489,1.88,0.4,0.14
9299,2008Q1,A,RYDER SYSTEM INC,R,114.621,57.498,2494.106,4.38,1543.582,1873.865,3502.2032,60.91,68.88,13.91,2.27,1.33,0.16,0.13,1543.582,1.87,0.42,0.13
9359,2008Q1,A,SAFEWAY INC,SWY,216.9,437.9,4802.3,2.05,9998.8,6792.8,12852.365,29.35,28.55,14.32,1.29,0.71,0.09,0.13,9998.8,1.89,1.53,-0.03
9372,2008Q1,A,ST JUDE MEDICAL INC,STJ,558.268,344.226,210.348,1.72,1010.738,3220.881,14867.1209,43.19,40.88,25.11,14.71,0.07,0.59,0.18,1010.738,4.62,0.26,-0.05
9459,2008Q1,A,SCHERING-PLOUGH,SGP,2461,1621,9349,-1.14,4657,11033,23358.61,14.41,19.69,-12.64,5.02,0.85,-0.4,-0.17,4657,2.12,0.25,0.37
9465,2008Q1,A,SCHLUMBERGER LTD,SLB,3153.439,1193.087,4153.426,4.29,6289.873,15782.648,103798.569,87,107.43,20.28,16.5,0.26,0.81,0.32,6289.873,6.58,0.35,0.23
9555,2008Q1,A,SEALED AIR CORP,SEE,430.9,160.573,1530.7,1.55,1177.4,2133.5,4054.4683,25.25,19.01,16.29,3.44,0.72,0.21,0.12,1177.4,1.9,0.21,-0.25
9667,2008Q1,A,SHERWIN-WILLIAMS CO,SHW,20.125,119.097,293.499,4.51,1781.682,1619.612,6078.7109,51.04,45.93,11.32,3.41,0.18,0.3,0.33,1781.682,3.75,0.18,-0.1
9699,2008Q1,A,SIGMA-ALDRICH CORP,SIAL,226.4,128.9,200.1,2.42,569.6,1718.8,7688.885,59.65,53.86,24.65,13.5,0.12,0.55,0.18,569.6,4.47,0.46,-0.1
9772,2008Q1,A,SMITH INTERNATIONAL INC,SII,148.374,200.819,794.995,3.29,2370.998,2757.329,12898.6044,64.23,83.14,19.52,5.44,0.29,0.28,0.24,2370.998,4.68,0.23,0.29
9778,2008Q1,A,SNAP-ON INC,SNA,114.3,57.496,502.7,3.55,747,1386.9,2923.6716,50.85,52.01,14.32,3.91,0.36,0.27,0.15,747,2.11,0.18,0.02
9846,2008Q1,A,EDISON INTERNATIONAL,EIX,1583,325.811,9325,3.25,3083,9389,15971.2552,49.02,51.38,15.08,5.18,0.99,0.34,0.11,3083,1.7,0.89,0.05
9850,2008Q1,A,SOUTHERN CO,SO,281.291,767.212,14887.512,2.29,3682.91,13645.181,27320.4193,35.61,34.92,15.55,7.42,1.09,0.48,0.13,3682.91,2,0.55,-0.02
9882,2008Q1,A,SOUTHWEST AIRLINES,LUV,3122,731.758,2079,0.78,2530,7185,9073.7992,12.4,13.04,15.9,3.59,0.29,0.23,0.08,2530,1.26,0.69,0.05
9899,2008Q1,A,AT&T INC,T,1963,5939,60189,2.05,30744,112258,227463.7,38.3,33.69,18.68,7.4,0.54,0.4,0.11,30744,2.03,0.69,-0.12
10016,2008Q1,A,STANLEY WORKS,SWK,324.8,78.383,1204,3.99,1073.7,1716.6,3732.5985,47.62,44.83,11.93,3.48,0.7,0.29,0.18,1073.7,2.17,0.19,-0.06
10115,2008Q1,A,STRYKER CORP,SYK,2362.8,411.8,0,2.49,1634.4,5932.8,26787.59,65.05,62.88,26.12,16.39,0,0.63,0.17,1634.4,4.52,0.4,-0.03
10156,2008Q1,A,SUNOCO INC,SUN,347,116.854,1683,5.43,12206,2367,6131.3294,52.47,40.69,9.66,0.5,0.71,0.05,0.27,12206,2.59,0.01,-0.22
10190,2008Q1,A,SUPERVALU INC,SVU,243,212,8502,2.76,10387,5953,5565,26.25,35.07,9.51,0.54,1.43,0.06,0.1,10387,0.93,0.7,0.34
10247,2008Q1,A,SYSCO CORP,SYY,243.919,600.086,2040.546,1.75,9146.557,3280.947,17414.4957,29.02,27.51,16.58,1.9,0.62,0.11,0.32,9146.557,5.31,0.19,-0.05
10277,2008Q1,A,TECO ENERGY INC,TE,127.9,210.7,3062.1,1.7,791.7,1993,3360.665,15.95,21.49,9.38,4.24,1.54,0.45,0.18,791.7,1.69,0.54,0.35
10332,2008Q1,A,RADIOSHACK CORP,RSH,469.3,131.114,353.5,1.75,949,811.6,2130.6025,16.25,12.27,9.29,2.25,0.44,0.24,0.28,949,2.63,0.49,-0.24
10405,2008Q1,A,ALLEGHENY TECHNOLOGIES INC,ATI,468,101.102,503.5,6.73,1343.4,2286.3,7214.6387,71.36,59.28,10.6,5.37,0.22,0.51,0.3,1343.4,3.16,0.35,-0.17
10420,2008Q1,A,TELLABS INC,TLAB,1408.1,397.406,0,0.13,464.1,2831.3,2165.8627,5.45,4.65,41.92,4.67,0,0.11,0.02,464.1,0.76,0.12,-0.15
10499,2008Q1,A,TEXAS INSTRUMENTS INC,TXN,1876,1322.736,0,1.97,3272,9857,37393.7467,28.27,28.16,14.35,11.43,0,0.8,0.26,3272,3.79,0.63,0
10530,2008Q1,A,THERMO FISHER SCIENTIFIC INC,TMO,748.1,418.209,2045.9,1.98,2554,14785.8,23770.9996,56.84,55.73,28.71,9.31,0.14,0.32,0.06,2554,1.61,0.31,-0.02
10787,2008Q1,A,TYCO INTERNATIONAL LTD,TYC,1074,485.184,3977,-4.46,4860,15974,21372.3552,44.05,40.04,-9.88,4.4,0.25,-0.45,-0.14,4860,1.34,0.24,-0.09
10793,2008Q1,A,TYSON FOODS INC  -CL A,TSN,53,355,2689,0.54,6046,4754,5662.25,15.95,14.94,29.54,0.94,0.57,0.03,0.04,6046,1.19,0.2,-0.06
10860,2008Q1,A,AMEREN CORP,AEE,186,209.4,5082,3.05,2079,6949,9221.976,44.04,42.23,14.44,4.44,0.73,0.31,0.09,2079,1.33,0.51,-0.04
10867,2008Q1,A,UNION PACIFIC CORP,UNP,827,258.287,7930,7.21,4270,15557,32384.0241,125.38,75.5,17.39,7.58,0.51,0.44,0.12,4270,2.08,1.6,-0.4
10903,2008Q1,A,UNITEDHEALTH GROUP INC,UNH,7040,1225,11495,3.54,20304,19759,42091,34.36,26.25,9.71,2.07,0.58,0.21,0.22,20304,2.13,1,-0.24
10974,2008Q1,A,UST INC,UST,50.46,148.588,1140,3.43,458.751,-419.296,8101.0178,54.52,54.61,15.9,17.66,-2.72,1.11,-1.22,458.751,-19.32,3.76,0
10983,2008Q1,A,UNITED TECHNOLOGIES CORP,UTX,3139,973.204,8014,4.48,13701,21586,66975.8993,68.82,61.7,15.36,4.89,0.37,0.32,0.2,13701,3.1,0.21,-0.1
10984,2008Q1,A,SPRINT NEXTEL CORP,S,4775,2849,22987,-10.51,9334,21769,19059.81,6.69,9.5,-0.64,2.04,1.06,-3.21,-1.38,9334,0.88,0.53,0.42
11060,2008Q1,A,VF CORP,VFC,259.855,108.924,1143.62,5.58,1846.341,3651.426,8442.6992,77.51,71.18,13.89,4.57,0.31,0.33,0.17,1846.341,2.31,0.25,-0.08
11115,2008Q1,A,VARIAN MEDICAL SYSTEMS INC,VAR,360.056,125.507,40.27,1.99,527.534,907.731,5878.7479,46.84,51.85,23.54,11.14,0.04,0.47,0.28,527.534,6.48,0.21,0.11
11264,2008Q1,A,WALGREEN CO,WAG,255.3,990.457,37.9,2.11,15393.6,12063.3,36161.5851,36.51,36.02,17.3,2.35,0,0.14,0.17,15393.6,3,0.55,-0.01
11366,2008Q1,A,WENDY'S INTERNATIONAL INC,WEN,207.562,87.415,543.215,0.86,582.191,796.532,2015.7899,23.06,27.22,26.81,3.46,0.68,0.13,0.09,582.191,2.53,0.82,0.18
11446,2008Q1,A,MEADWESTVACO CORP,MWV,335,173.721,2387,1.59,1518,3726,4728.6856,27.22,23.84,17.12,3.12,0.64,0.18,0.07,1518,1.27,0.18,-0.12
11465,2008Q1,A,WHIRLPOOL CORP,WHR,321,75,2166,7.8,4614,4071,6508.5,86.78,61.73,11.13,1.41,0.53,0.13,0.14,4614,1.6,0.12,-0.29
11506,2008Q1,A,WILLIAMS COS INC,WMB,2240,584,7799,1.82,3224,7801,19260.32,32.98,40.31,18.12,5.97,1,0.33,0.14,3224,2.47,0.75,0.22
11555,2008Q1,A,INTEGRYS ENERGY GROUP INC,TEG,97.8,76.33,2263.4,2.57,3989.2,3369.5,3560.0312,46.64,50.83,18.15,0.89,0.67,0.05,0.06,3989.2,1.06,0.17,0.09
11609,2008Q1,A,WRIGLEY (WM) JR CO,WWY,337.011,271.717,1000,2.37,1451.55,2749.357,17041.6517,62.84,77.78,26.51,11.74,0.36,0.44,0.23,1451.55,6.21,0.62,0.24
11636,2008Q1,A,XEROX CORP,XRX,842,899.128,6976,0.69,4335,8155,13459.9462,14.97,13.56,21.7,3.1,0.86,0.14,0.08,4335,1.65,0.1,-0.09
11925,2008Q1,A,NOBLE CORP,NE,319.597,268.683,701.495,4.98,861.425,4664.266,13345.4846,49.67,64.96,9.97,15.49,0.15,1.55,0.29,861.425,2.86,0.95,0.31
12053,2008Q1,A,EMC CORP/MA,EMC,5613.502,2067.237,3450,0.76,3470.059,12374.406,29644.1786,14.34,14.69,18.87,8.54,0.28,0.45,0.13,3470.059,2.4,0.34,0.02
12141,2008Q1,A,MICROSOFT CORP,MSFT,26341,9310,0,1.72,14454,37554,264217.8,28.38,27.51,16.5,18.28,0,1.11,0.43,14454,7.04,0.64,-0.03
12142,2008Q1,A,ORACLE CORP,ORCL,10506,5149,6237,0.98,5349,20815,96801.2,18.8,22.84,19.18,18.1,0.3,0.94,0.24,5349,4.65,0.6,0.21
12206,2008Q1,A,DIRECTV GROUP INC,DTV,1626,1145.024,3332,1.25,4591,6683,28385.145,24.79,25.91,19.83,6.18,0.5,0.31,0.21,4591,4.25,0.88,0.05
12389,2008Q1,A,HARLEY-DAVIDSON INC,HOG,333.163,236.5,980,3.78,1399.602,2431.425,8868.75,37.5,36.26,9.92,6.34,0.4,0.64,0.37,1399.602,3.65,0.14,-0.03
12540,2008Q1,A,ADOBE SYSTEMS INC,ADBE,1715.244,540.871,450,1.35,890.445,3814.15,18200.3092,33.65,44.06,24.93,20.44,0.12,0.82,0.19,890.445,4.77,1.04,0.31
12635,2008Q1,A,FISERV INC,FISV,371,163.8,4308,2.4,1310,2692,7877.142,48.09,45.37,20.04,6.01,1.6,0.3,0.15,1310,2.93,0.34,-0.06
12756,2008Q1,A,COCA-COLA ENTERPRISES INC,CCE,60,487.582,7288,1.45,4892,5710,11799.4844,24.2,17.3,16.69,2.41,1.28,0.14,0.12,4892,2.07,0.17,-0.29
13498,2008Q1,A,CARNIVAL CORP/PLC (USA),CCL,978,786,6271,2.89,3152,19740,30929.1,39.35,40.06,13.62,9.81,0.32,0.72,0.12,3152,1.57,1.41,0.02
13599,2008Q1,A,CELGENE CORP,CELG,2026.492,435.692,0,-3.58,461.019,3029.474,26703.5627,61.29,63.87,-17.12,57.92,0,-3.38,-0.51,461.019,8.81,0.5,0.04
13714,2008Q1,A,CBS CORP,CBS,2258.9,668.6,7112,1.79,3654.1,21667,14763.86,22.08,19.49,12.34,4.04,0.33,0.33,0.06,3654.1,0.68,0.23,-0.12
14324,2008Q1,A,ALTERA CORP,ALTR,994.632,299.22,350,0.89,336.071,672.742,5514.6246,18.43,20.7,20.71,16.41,0.52,0.79,0.4,336.071,8.2,0.47,0.12
14477,2008Q1,A,WASTE MANAGEMENT INC,WMI,466,492.39,8229,2.27,3266,5611,16524.6084,33.56,37.71,14.78,5.06,1.47,0.34,0.2,3266,2.95,0.44,0.12
14590,2008Q1,A,FREEPORT-MCMORAN COP&GOLD,FCX,1831,383,7535,8.11,5672,19306,36852.26,96.22,117.19,11.86,6.5,0.39,0.55,0.16,5672,1.91,1.32,0.22
14624,2008Q1,A,OFFICE DEPOT INC,ODP,181.524,273.104,623.246,1.13,3962.017,3251.781,3017.7992,11.05,10.94,9.78,0.76,0.19,0.08,0.09,3962.017,0.93,0.11,-0.01
14650,2008Q1,A,BMC SOFTWARE INC,BMC,1350.5,190.6,6.3,1.57,466.9,994.5,6198.312,32.52,36,20.71,13.28,0.01,0.64,0.3,466.9,6.23,0.49,0.11
14934,2008Q1,A,DEVON ENERGY CORP,DVN,1898,445.645,6371,7.14,2975,22398,46494.1429,104.33,120.16,14.61,15.63,0.28,1.07,0.14,2975,2.08,0.85,0.15
14960,2008Q1,A,LABORATORY CP OF AMER HLDGS,LH,50.1,111.3,1064.9,4.09,1103.2,1702.9,8200.584,73.68,69.63,18.01,7.43,0.63,0.41,0.27,1103.2,4.82,0.4,-0.05
15855,2008Q1,A,SYMANTEC CORP,SYMC,2426.953,839.387,2100,0.52,1539.741,10973.183,13950.6119,16.62,19.35,31.96,9.06,0.19,0.28,0.04,1539.741,1.27,0.59,0.16
16478,2008Q1,A,EOG RESOURCES INC,EOG,204.938,248.084,1185,4.46,962.642,7190.521,29770.08,120,131.2,26.91,30.93,0.16,1.15,0.15,962.642,4.14,0.5,0.09
16721,2008Q1,A,ELECTRONIC ARTS INC,ERTS,3016,317.681,0,-1.45,1128,4339,15858.6355,49.92,44.43,-34.43,14.06,0,-0.41,-0.11,1128,3.65,0.55,-0.11
22140,2008Q1,A,ALLIED WASTE INDUSTRIES INC,AW,59.7,431.3,6293.9,0.8,1484.2,3973.7,4662.353,10.81,12.62,13.51,3.14,1.58,0.23,0.09,1484.2,1.17,0.54,0.17
22325,2008Q1,A,XILINX INC,XLNX,1296.435,280.519,999.851,1.25,475.76,1671.823,6662.3263,23.75,25.25,19,14,0.6,0.74,0.21,475.76,3.99,0.51,0.06
23877,2008Q1,A,COVENTRY HEALTH CARE INC,CVH,984.815,151.669,1662.119,4.03,2940.608,3287.345,6119.8442,40.35,30.42,10.01,2.08,0.51,0.21,0.19,2940.608,1.86,0.34,-0.25
23978,2008Q1,A,UNITED STATES STEEL CORP,X,454,117.788,3142,7.08,5196,5778,14943.7636,126.87,184.78,17.92,2.88,0.54,0.16,0.14,5196,2.59,0.17,0.46
24032,2008Q1,A,JONES APPAREL GROUP INC,JNY,199.6,86.6,776.8,0.11,975.4,2008.6,1162.172,13.42,13.75,122,1.19,0.39,0.01,0,975.4,0.58,0.13,0.02
24468,2008Q1,A,BIOGEN IDEC INC,BIIB,1111.093,293.022,1060.448,2.16,942.186,5532.708,18076.5272,61.69,55.89,28.56,19.19,0.19,0.67,0.11,942.186,3.27,0.65,-0.09
24800,2008Q1,A,QUALCOMM INC,QCOM,6462,1617,0,2.07,2607,15477,66297,41,44.37,19.81,25.43,0,1.28,0.22,2607,4.28,1.27,0.08
25056,2008Q1,A,TIME WARNER INC,TWX,1603,3578,36345,0.98,11417,58712,50163.56,14.02,14.8,14.31,4.39,0.62,0.31,0.06,11417,0.85,0.75,0.06
25124,2008Q1,A,PRAXAIR INC,PX,21,313.117,3582,3.77,2663,5209,26373.8449,84.23,94.24,22.34,9.9,0.69,0.44,0.23,2663,5.06,0.37,0.12
25356,2008Q1,A,EXPRESS SCRIPTS INC,ESRX,515.1,251.145,1680.3,2.49,4603.1,777.2,16153.6464,64.32,62.72,25.83,3.51,2.16,0.14,0.8,4603.1,20.78,0.26,-0.02
25434,2008Q1,A,STARBUCKS CORP,SBUX,371.5,730.7,549.9,0.85,2526,2440.8,12787.25,17.5,15.74,20.59,5.06,0.23,0.25,0.25,2526,5.24,0.97,-0.1
25495,2008Q1,A,DYNEGY INC,DYN,542,842.043,5989,-0.07,545,4350,6643.7193,7.89,8.55,-112.71,12.19,1.38,-0.11,-0.01,545,1.53,-0.15,0.08
26011,2008Q1,A,COMPUWARE CORP,CPWR,286.417,261.638,0,0.47,338.916,927.031,1920.4229,7.34,9.54,15.62,5.67,0,0.36,0.13,338.916,2.07,0.16,0.3
26061,2008Q1,A,IAC/INTERACTIVECORP,IACI,1415.97,285.451,850.005,-0.71,1581.617,8514.008,5925.9628,20.76,19.28,-29.24,3.75,0.1,-0.13,-0.02,1581.617,0.7,0.3,-0.07
27845,2008Q1,A,WATSON PHARMACEUTICALS INC,WPI,186.709,104.386,824.473,1.43,626.949,1903.367,3060.5975,29.32,27.17,20.5,4.88,0.43,0.24,0.08,626.949,1.61,0.45,-0.07
